sessionId;userId;itemId;timeframe;eventdate
1;NA;81766;526309;2016-05-09
1;NA;31331;1031018;2016-05-09
1;NA;32118;243569;2016-05-09
1;NA;9654;75848;2016-05-09
1;NA;32627;1112408;2016-05-09
1;NA;33043;173912;2016-05-09
1;NA;12352;329870;2016-05-09
1;NA;35077;390072;2016-05-09
1;NA;36118;487369;2016-05-09
1;NA;129055;991416;2016-05-09
2;NA;3147;883039;2016-05-09
2;NA;32754;359839;2016-05-09
2;NA;100747;38317;2016-05-09
2;NA;32971;182759;2016-05-09
2;NA;10657;387340;2016-05-09
2;NA;35606;756335;2016-05-09
2;NA;35606;53684;2016-05-09
2;NA;36246;332000;2016-05-09
2;NA;36246;722492;2016-05-09
2;NA;196110;1045018;2016-05-09
4;NA;13931;21812;2016-05-09
5;NA;5140;22430;2016-05-09
5;NA;35472;121036;2016-05-09
6;NA;73191;53123;2016-05-09
6;NA;382683;88337;2016-05-09
7;NA;59248;38806;2016-05-09
7;NA;59248;328086;2016-05-09
7;NA;9416;271202;2016-05-09
7;NA;40639;14808;2016-05-09
7;NA;40639;432980;2016-05-09
7;NA;40639;161072;2016-05-09
7;NA;73816;69100;2016-05-09
7;NA;32742;186920;2016-05-09
7;NA;79626;358743;2016-05-09
7;NA;388131;583388;2016-05-09
8;NA;11542;10067;2016-04-10
10;NA;69597;193275;2016-04-05
10;NA;5103;5639;2016-04-05
12;NA;4168;18252;2016-04-05
12;NA;79898;204561;2016-04-05
12;NA;79898;463266;2016-04-05
13;NA;3680;144850;2016-04-05
13;NA;34797;217117;2016-04-05
13;NA;14784;24256;2016-04-05
14;NA;36156;24366;2016-04-05
14;NA;13931;6581;2016-04-05
15;NA;135099;135386;2016-04-05
15;NA;151445;318401;2016-04-05
15;NA;29592;276284;2016-04-05
15;NA;19726;77423;2016-04-05
15;NA;19726;37837;2016-04-05
15;NA;58223;104426;2016-04-05
17;NA;51353;385045;2016-04-09
17;NA;240186;528277;2016-04-09
17;NA;51913;301893;2016-04-09
17;NA;254864;408749;2016-04-09
17;NA;353726;595874;2016-04-09
17;NA;35142;94227;2016-04-09
17;NA;79898;23421;2016-04-09
18;NA;38873;163875;2016-04-09
18;NA;38873;89503;2016-04-09
18;NA;38873;331806;2016-04-09
18;NA;31579;784079;2016-04-09
18;NA;44491;420232;2016-04-09
18;NA;44491;125167;2016-04-09
18;NA;11732;823478;2016-04-09
18;NA;23840;25804;2016-04-09
18;NA;23840;376155;2016-04-09
18;NA;23840;256852;2016-04-09
18;NA;14914;751143;2016-04-09
20;NA;117403;473943;2016-04-03
20;NA;105612;114278;2016-04-03
20;NA;123272;17648;2016-04-03
20;NA;108888;407044;2016-04-03
20;NA;9029;272662;2016-04-03
20;NA;3633;343934;2016-04-03
20;NA;126437;318707;2016-04-03
20;NA;126437;222008;2016-04-03
22;NA;6542;1068214;2016-04-03
22;NA;6542;1056831;2016-04-03
22;NA;6542;27154;2016-04-03
22;NA;375733;310866;2016-04-03
22;NA;126498;474413;2016-04-03
22;NA;128913;673175;2016-04-03
22;NA;69210;518999;2016-04-03
22;NA;400741;118718;2016-04-03
22;NA;169562;975447;2016-04-03
22;NA;381355;876725;2016-04-03
22;NA;208971;890705;2016-04-03
24;NA;66200;13076;2016-05-10
25;NA;14895;22946;2016-05-10
28;NA;1013;610105;2016-05-08
28;NA;121104;637382;2016-05-08
28;NA;46610;57944;2016-05-08
28;NA;12787;560336;2016-05-08
28;NA;24619;458264;2016-05-08
28;NA;13061;534924;2016-05-08
28;NA;171222;167561;2016-05-08
28;NA;126308;191916;2016-05-08
28;NA;164504;758283;2016-05-08
28;NA;164504;728531;2016-05-08
28;NA;25583;706033;2016-05-08
29;NA;2042;114562;2016-04-04
29;NA;2042;212134;2016-04-04
29;NA;2042;40988;2016-04-04
32;NA;3719;410142;2016-04-08
32;NA;11338;512845;2016-04-08
32;NA;11338;435504;2016-04-08
32;NA;387;825971;2016-04-08
32;NA;35311;246549;2016-04-08
32;NA;35311;139389;2016-04-08
32;NA;35311;229388;2016-04-08
32;NA;35311;91968;2016-04-08
32;NA;79130;33930;2016-04-08
33;NA;32142;65780;2016-04-08
33;NA;63532;563443;2016-04-08
33;NA;28249;20417;2016-04-08
33;NA;35378;970150;2016-04-08
33;NA;35418;683871;2016-04-08
33;NA;5450;386521;2016-04-08
33;NA;6267;38783;2016-04-08
34;NA;75611;4251;2016-04-08
35;NA;59968;70766;2016-04-08
35;NA;84043;521854;2016-04-08
35;NA;172323;337114;2016-04-08
35;NA;172323;311805;2016-04-08
35;NA;172323;275718;2016-04-08
35;NA;117825;97825;2016-04-08
35;NA;75155;324858;2016-04-08
35;NA;86471;284410;2016-04-08
35;NA;4145;437172;2016-04-08
35;NA;66165;23536;2016-04-08
35;NA;4735;492003;2016-04-08
35;NA;4735;556080;2016-04-08
35;NA;130777;575102;2016-04-08
35;NA;201689;951359;2016-04-08
37;NA;8549;177568;2016-04-08
37;NA;8549;100164;2016-04-08
37;NA;8549;168186;2016-04-08
37;NA;62898;468003;2016-04-08
37;NA;62898;513250;2016-04-08
37;NA;62898;504592;2016-04-08
37;NA;28580;285742;2016-04-08
38;NA;2062;14168;2016-04-08
40;NA;82984;66531;2016-04-08
40;NA;82984;502469;2016-04-08
40;NA;82984;224786;2016-04-08
40;NA;80334;130688;2016-04-08
40;NA;80334;5457;2016-04-08
40;NA;42;701070;2016-04-08
42;NA;4185;152247;2016-04-08
42;NA;55594;9774;2016-04-08
42;NA;6308;42046;2016-04-08
42;NA;14280;125099;2016-04-08
43;NA;3433;489835;2016-04-09
43;NA;36956;455479;2016-04-09
43;NA;14784;364997;2016-04-09
43;NA;14784;102794;2016-04-09
44;NA;73655;9251;2016-05-09
45;NA;6078;989327;2016-05-09
46;NA;66956;582262;2016-05-09
46;NA;90812;11667;2016-05-09
46;NA;6306;181963;2016-05-09
47;NA;10741;20517;2016-05-09
48;2;24764;8863;2016-04-09
48;2;24764;496381;2016-04-09
48;2;24764;265216;2016-04-09
48;2;24764;519975;2016-04-09
48;2;24764;456437;2016-04-09
51;NA;75611;18600;2016-04-09
53;NA;6096;975111;2016-04-04
53;NA;6096;8233;2016-04-04
53;NA;6096;341715;2016-04-04
54;NA;54759;16413;2016-04-04
55;NA;208138;14093;2016-04-04
56;NA;20138;250960;2016-05-09
56;NA;381701;219337;2016-05-09
56;NA;381701;162837;2016-05-09
56;NA;377512;204214;2016-05-09
56;NA;375980;10135;2016-05-09
56;NA;376089;92333;2016-05-09
56;NA;376526;364360;2016-05-09
56;NA;376526;257611;2016-05-09
56;NA;376526;232647;2016-05-09
56;NA;378922;49966;2016-05-09
56;NA;378729;112200;2016-05-09
56;NA;381813;307510;2016-05-09
57;NA;44384;41200;2016-05-09
59;NA;30893;33305;2016-05-09
59;NA;1407;214579;2016-05-09
59;NA;2391;183355;2016-05-09
59;NA;4016;127567;2016-05-09
59;NA;5691;164059;2016-05-09
59;NA;5691;207998;2016-05-09
60;3;22128;22704;2016-05-09
60;3;22128;71762;2016-05-09
62;NA;380235;103055;2016-05-07
63;NA;14763;67322;2016-05-09
63;NA;380340;24674;2016-05-09
63;NA;380340;1097736;2016-05-09
63;NA;378944;1171005;2016-05-09
64;NA;81575;19191;2016-05-09
65;NA;2809;82609;2016-04-08
65;NA;2809;21182;2016-04-08
66;NA;49360;13830;2016-04-09
66;NA;216104;49284;2016-04-09
66;NA;3680;67141;2016-04-09
66;NA;69390;7750;2016-04-09
67;NA;32005;465536;2016-04-09
67;NA;10589;246535;2016-04-09
67;NA;10589;555405;2016-04-09
67;NA;10589;578279;2016-04-09
67;NA;10589;457260;2016-04-09
67;NA;15507;567232;2016-04-09
67;NA;38707;639533;2016-04-09
67;NA;8379;1016185;2016-04-09
67;NA;66764;171936;2016-04-09
67;NA;66765;30583;2016-04-09
67;NA;68301;1084682;2016-04-09
67;NA;24578;294238;2016-04-09
67;NA;90377;831599;2016-04-09
68;NA;368353;1061691;2016-04-09
68;NA;280626;996598;2016-04-09
68;NA;280626;523323;2016-04-09
68;NA;280626;691082;2016-04-09
68;NA;280626;1111759;2016-04-09
68;NA;280626;733083;2016-04-09
68;NA;280626;1049093;2016-04-09
68;NA;251609;1056441;2016-04-09
68;NA;14614;8562;2016-04-09
68;NA;14614;535672;2016-04-09
68;NA;14614;859241;2016-04-09
68;NA;14614;568656;2016-04-09
68;NA;380235;1073501;2016-04-09
70;NA;4151;512255;2016-04-09
70;NA;55269;653412;2016-04-09
70;NA;34142;579915;2016-04-09
70;NA;35818;10464;2016-04-09
70;NA;7747;188758;2016-04-09
71;NA;38073;414953;2016-04-09
71;NA;1296;24301;2016-04-09
71;NA;16116;133884;2016-04-09
71;NA;145697;317257;2016-04-09
71;NA;22099;570815;2016-04-09
71;NA;63076;385888;2016-04-09
71;NA;154670;532243;2016-04-09
71;NA;3563;89312;2016-04-09
71;NA;3563;505558;2016-04-09
71;NA;170561;598110;2016-04-09
73;NA;84116;9409;2016-05-09
75;NA;14912;8772;2016-04-08
75;NA;40921;349408;2016-04-08
76;NA;32902;21869;2016-04-08
76;NA;148626;221572;2016-04-08
76;NA;90683;306071;2016-04-08
77;NA;30058;624788;2016-04-07
77;NA;30294;944903;2016-04-07
77;NA;8732;647283;2016-04-07
77;NA;9582;174951;2016-04-07
77;NA;2745;129944;2016-04-07
77;NA;35640;151082;2016-04-07
77;NA;131319;691136;2016-04-07
79;NA;8734;846548;2016-04-07
79;NA;8735;734693;2016-04-07
79;NA;8735;434763;2016-04-07
79;NA;16074;595394;2016-04-07
79;NA;294153;653730;2016-04-07
79;NA;74731;689069;2016-04-07
79;NA;74731;664336;2016-04-07
79;NA;11297;89426;2016-04-07
79;NA;43824;513315;2016-04-07
79;NA;45236;571973;2016-04-07
79;NA;45236;775270;2016-04-07
79;NA;18566;627646;2016-04-07
79;NA;18566;702699;2016-04-07
79;NA;45355;555924;2016-04-07
79;NA;45355;36067;2016-04-07
79;NA;45355;343077;2016-04-07
79;NA;88452;322999;2016-04-07
79;NA;135792;56099;2016-04-07
79;NA;135792;375459;2016-04-07
79;NA;130835;10625;2016-04-07
79;NA;125919;120224;2016-04-07
79;NA;125920;719031;2016-04-07
79;NA;125920;480878;2016-04-07
81;NA;10858;33419;2016-05-09
81;NA;54281;361298;2016-05-09
83;NA;15391;9870;2016-04-10
84;NA;23094;7840;2016-04-08
84;NA;383298;126592;2016-04-08
85;NA;2442;283790;2016-04-08
85;NA;44612;13792;2016-04-08
85;NA;90702;661846;2016-04-08
86;NA;31500;18700;2016-04-08
86;NA;31500;71362;2016-04-08
86;NA;21864;94783;2016-04-08
87;NA;36700;115943;2016-03-22
87;NA;36700;104176;2016-03-22
87;NA;11524;26334;2016-03-22
88;NA;82691;539332;2016-03-22
88;NA;82691;706726;2016-03-22
88;NA;82691;11284;2016-03-22
88;NA;39471;179867;2016-03-22
88;NA;39471;582866;2016-03-22
88;NA;127098;1191325;2016-03-22
88;NA;11419;677357;2016-03-22
88;NA;44394;1112954;2016-03-22
88;NA;34093;509309;2016-03-22
88;NA;87471;1020890;2016-03-22
88;NA;132807;937466;2016-03-22
88;NA;132879;727652;2016-03-22
88;NA;106324;831910;2016-03-22
88;NA;19942;763737;2016-03-22
88;NA;14234;620784;2016-03-22
88;NA;126406;793046;2016-03-22
88;NA;36621;423521;2016-03-22
88;NA;36621;133302;2016-03-22
88;NA;14600;596652;2016-03-22
89;NA;3122;41212;2016-03-22
90;NA;11119;27556;2016-04-08
90;NA;92881;947011;2016-04-08
92;NA;4787;144502;2016-04-08
92;NA;80098;73749;2016-04-08
92;NA;169690;142582;2016-04-08
93;NA;25460;763584;2016-04-08
93;NA;48094;552070;2016-04-08
93;NA;37725;18176;2016-04-08
93;NA;30398;223698;2016-04-08
93;NA;30398;1001944;2016-04-08
93;NA;8250;302723;2016-04-08
93;NA;31055;1028731;2016-04-08
93;NA;9093;429003;2016-04-08
93;NA;98851;505299;2016-04-08
93;NA;19342;992821;2016-04-08
93;NA;19342;811494;2016-04-08
93;NA;126122;936816;2016-04-08
94;NA;33034;26076;2016-04-08
96;NA;35311;74613;2016-05-09
96;NA;35311;182006;2016-05-09
96;NA;35495;124487;2016-05-09
97;NA;14677;17329;2016-05-09
99;NA;34300;3152;2016-05-09
100;NA;32342;178714;2016-03-22
100;NA;124947;33854;2016-03-22
100;NA;84517;298596;2016-03-22
100;NA;17050;269479;2016-03-22
100;NA;17050;6051;2016-03-22
100;NA;23288;104230;2016-03-22
100;NA;23288;397788;2016-03-22
100;NA;66682;125601;2016-03-22
100;NA;128859;85571;2016-03-22
100;NA;25781;357958;2016-03-22
101;NA;25007;50882;2016-04-07
102;NA;34559;35377;2016-04-08
103;NA;352;20373;2016-04-08
104;4;10691;271471;2016-03-21
104;4;10691;633495;2016-03-21
104;4;10691;611739;2016-03-21
104;NA;10858;7405;2016-03-21
104;4;10858;381182;2016-03-21
104;4;33404;297300;2016-03-21
105;NA;2818;15897;2016-03-21
105;NA;157362;198175;2016-03-21
105;NA;164206;330969;2016-03-21
105;NA;58140;144368;2016-03-21
105;NA;14170;257011;2016-03-21
105;NA;90683;170312;2016-03-21
106;NA;14312;1152485;2016-03-21
106;NA;62040;918817;2016-03-21
106;NA;10458;289420;2016-03-21
106;NA;170416;297215;2016-03-21
106;NA;43654;855928;2016-03-21
106;NA;45002;332146;2016-03-21
106;NA;36055;929978;2016-03-21
106;NA;107210;814029;2016-03-21
106;NA;90603;77403;2016-03-21
106;NA;14912;60412;2016-03-21
106;NA;14912;984587;2016-03-21
106;NA;107546;997748;2016-03-21
106;NA;164713;736230;2016-03-21
106;NA;58998;3154;2016-03-21
106;NA;134;692555;2016-03-21
106;NA;20698;528801;2016-03-21
106;NA;70219;481634;2016-03-21
106;NA;70219;30816;2016-03-21
106;NA;159361;552054;2016-03-21
106;NA;7884;573483;2016-03-21
106;NA;144613;343556;2016-03-21
106;NA;168282;1093022;2016-03-21
106;NA;109704;827003;2016-03-21
106;NA;166617;1038687;2016-03-21
106;NA;71338;1174466;2016-03-21
106;NA;1180;396023;2016-03-21
106;NA;163155;721765;2016-03-21
106;NA;1671;611645;2016-03-21
106;NA;153734;1181805;2016-03-21
106;NA;51535;465150;2016-03-21
106;NA;40921;437854;2016-03-21
106;NA;127397;313726;2016-03-21
106;NA;52123;901645;2016-03-21
106;NA;9934;305563;2016-03-21
106;NA;130105;1057579;2016-03-21
106;NA;4479;84524;2016-03-21
106;NA;106176;911249;2016-03-21
106;NA;78103;1020664;2016-03-21
106;NA;46437;363409;2016-03-21
106;NA;29091;949339;2016-03-21
106;NA;135896;598099;2016-03-21
106;NA;6185;590734;2016-03-21
106;NA;171294;763264;2016-03-21
106;NA;171307;539458;2016-03-21
106;NA;6291;276361;2016-03-21
106;NA;167987;803195;2016-03-21
106;NA;14116;749502;2016-03-21
106;NA;164412;606695;2016-03-21
106;NA;14310;870857;2016-03-21
106;NA;126446;769572;2016-03-21
106;NA;36708;451693;2016-03-21
106;NA;171611;1135719;2016-03-21
106;NA;171648;105628;2016-03-21
106;NA;25886;503929;2016-03-21
108;NA;86161;190980;2016-04-09
108;NA;682;122229;2016-04-09
108;NA;10299;304972;2016-04-09
108;NA;11989;488347;2016-04-09
108;NA;75104;531367;2016-04-09
108;NA;33914;994592;2016-04-09
108;NA;34952;24233;2016-04-09
109;NA;12233;436402;2016-04-09
109;NA;48286;522202;2016-04-09
109;NA;30378;371738;2016-04-09
109;NA;30455;444413;2016-04-09
109;NA;30455;17439;2016-04-09
109;NA;33256;18949;2016-04-09
109;NA;6365;535042;2016-04-09
109;NA;36717;439364;2016-04-09
110;NA;81021;178353;2016-04-09
110;NA;144629;124257;2016-04-09
110;NA;8549;14825;2016-04-09
110;NA;8993;329141;2016-04-09
110;NA;136201;688651;2016-04-09
112;NA;35099;41565;2016-04-09
112;NA;47412;12360;2016-04-09
113;NA;34053;345533;2016-04-09
113;NA;18860;195705;2016-04-09
113;NA;67779;66596;2016-04-09
113;NA;57076;988970;2016-04-09
113;NA;46225;1019037;2016-04-09
113;NA;46225;472577;2016-04-09
113;NA;46225;1062044;2016-04-09
113;NA;407250;1001573;2016-04-09
113;NA;46293;438399;2016-04-09
113;NA;46509;651527;2016-04-09
113;NA;130768;274546;2016-04-09
113;NA;130768;6359;2016-04-09
113;NA;24522;207667;2016-04-09
113;NA;24522;236059;2016-04-09
113;NA;46644;1087779;2016-04-09
113;NA;57590;46529;2016-04-09
113;NA;90105;120152;2016-04-09
113;NA;47114;76033;2016-04-09
113;NA;68899;94858;2016-04-09
113;NA;131216;1170176;2016-04-09
113;NA;7446;1116254;2016-04-09
113;NA;7447;153646;2016-04-09
113;NA;136612;1197913;2016-04-09
114;NA;180836;7509;2016-03-22
115;NA;50344;93844;2016-03-22
115;NA;66114;922722;2016-03-22
116;NA;5560;4031;2016-03-22
116;NA;83537;19217;2016-03-22
117;NA;7068;29175;2016-03-22
117;NA;62079;42103;2016-03-22
117;NA;130874;31160;2016-03-22
118;NA;82292;75541;2016-03-22
118;NA;62762;591385;2016-03-22
119;NA;8917;144566;2016-03-22
119;NA;52895;361351;2016-03-22
119;NA;52895;85368;2016-03-22
119;NA;62123;311298;2016-03-22
119;NA;58277;530887;2016-03-22
120;NA;12030;630210;2016-05-07
120;NA;56006;570719;2016-05-07
120;NA;4869;13348;2016-05-07
120;NA;175818;887549;2016-05-07
120;NA;90675;790373;2016-05-07
122;NA;83484;70885;2016-03-22
122;NA;32138;50703;2016-03-22
122;NA;63620;88951;2016-03-22
122;NA;11855;13330;2016-03-22
124;NA;11945;35588;2016-03-22
125;NA;3676;272642;2016-03-22
125;NA;12841;271611;2016-03-22
125;NA;79141;200909;2016-03-22
125;NA;79141;89690;2016-03-22
125;NA;79178;204714;2016-03-22
125;NA;35495;567753;2016-03-22
125;NA;46805;608693;2016-03-22
125;NA;6964;612429;2016-03-22
126;NA;89925;124297;2016-03-22
