age,class of worker,industry code,occupation code,education,wage per hour,enrolled in edu inst last wk,marital status,major industry code,major occupation code,race,hispanic origin,sex,member of a labor union,reason for unemployment,full or part time employment stat,capital gains,capital losses,divdends from stocks,tax filer status,region of previous residence,state of previous residence,detailed household and family stat,detailed household summary in household,migration code-change in msa,migration code-change in reg,migration code-move within reg,live in this house 1 year ago,migration prev res in sunbelt,num persons worked for employer,family members under 18,country of birth father,country of birth mother,country of birth self,citizenship,own business or self employed,fill inc questionnaire for veterans admin,veterans benefits,weeks worked in year,year,income
0.3333,1,43,26,12,0.0,2,0,5,0,1,0,0,1,3,1,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,0.6667,4,3,3,3,0,0,1,2,0.7692,1,0
0.1444,3,0,0,10,0.0,2,1,14,6,4,0,1,1,3,0,0.0,0.0,0.0,4,3,36,8,2,0,0,0,1,0,0.0,0,40,40,40,4,0,1,0,0.0,1,0
0.7667,6,2,43,6,0.0,2,0,0,3,4,0,1,1,3,0,0.0,0.0,0.0,1,3,36,20,4,7,6,7,2,2,0.1667,4,40,40,40,4,1,1,2,0.1731,0,0
0.0,3,0,0,10,0.0,2,1,14,6,4,0,0,1,3,0,0.0,0.0,0.0,4,3,36,8,2,9,7,8,1,2,0.0,0,40,40,40,4,0,1,0,0.0,0,0
0.4778,4,32,18,16,0.0,2,0,23,12,4,0,1,1,3,1,0.0,0.0,0.0,0,3,36,20,4,0,0,0,1,0,0.3333,4,40,40,40,4,0,1,2,1.0,1,0
0.1222,3,0,0,10,0.0,2,1,14,6,4,0,0,1,3,0,0.0,0.0,0.0,4,3,36,8,2,7,6,7,2,2,0.0,0,40,40,40,4,0,1,0,0.0,0,0
0.4,4,37,25,6,0.0,2,0,2,0,4,0,0,1,3,0,0.0,0.0,0.0,0,3,36,20,4,7,6,7,2,2,0.6667,4,40,40,40,4,0,1,2,1.0,0,0
0.5333,4,11,31,7,0.0,2,0,10,7,4,0,1,1,3,1,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,0.8333,4,40,40,40,4,0,1,2,0.6923,1,0
0.4222,4,35,26,16,0.0,2,0,7,0,4,0,0,1,3,1,0.0,0.0,0.0,0,3,36,20,4,0,0,0,1,0,1.0,4,40,40,40,4,0,1,2,1.0,1,0
0.4444,3,0,0,7,0.0,2,0,14,6,4,9,1,1,3,0,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,1.0,4,34,34,34,3,2,1,2,1.0,1,0
0.1444,3,0,0,10,0.0,2,1,14,6,2,0,1,1,3,0,0.0,0.0,0.0,4,3,36,8,2,7,6,7,2,2,0.0,2,40,40,40,4,0,1,0,0.0,0,0
0.4,1,43,10,14,0.0,2,0,5,10,4,0,1,0,3,1,0.0,0.0,0.0,0,3,36,20,4,0,0,0,1,0,1.0,4,40,40,40,4,0,1,2,1.0,1,0
0.4111,6,38,33,12,0.0,2,1,2,8,4,0,1,1,3,1,0.0,0.0,0.0,5,3,36,2,0,0,0,0,1,0,0.1667,4,40,40,40,4,0,1,2,1.0,1,0
0.3,4,44,2,9,0.0,2,1,20,2,4,0,1,1,3,0,0.0,0.0,0.0,5,1,15,35,5,6,8,9,0,1,0.1667,4,40,40,40,4,2,1,2,0.9231,0,0
0.5444,4,8,36,5,0.0,2,0,10,5,4,0,1,1,3,0,0.0,0.0,0.0,2,3,36,20,4,7,6,7,2,2,1.0,4,40,40,40,4,0,1,2,1.0,0,0
0.5222,3,0,0,12,0.0,2,0,14,6,4,0,1,1,3,2,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,0.0,4,40,40,40,4,0,1,2,0.0,1,0
0.7,3,0,0,12,0.0,2,0,14,6,4,0,1,1,3,2,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,0.6667,4,40,40,40,4,0,1,2,0.0192,1,0
0.5111,1,47,26,12,0.0,2,0,18,0,4,0,0,1,3,0,0.0,0.0,0.0,2,3,36,37,7,7,6,7,2,2,0.6667,4,40,40,40,4,0,1,2,0.9615,0,0
0.6333,1,43,10,14,0.0,2,0,5,10,4,0,0,1,3,1,0.0,0.0,0.0,2,3,36,37,7,0,0,0,1,0,0.8333,4,11,11,40,4,0,1,2,0.5769,1,0
0.4444,4,4,34,12,0.0,2,0,4,8,4,0,1,1,3,1,0.0,0.3778,0.0,5,3,36,22,4,0,0,0,1,0,0.3333,4,40,9,40,4,0,1,2,1.0,1,0
0.7667,3,0,0,4,0.0,2,0,14,6,2,0,0,1,3,0,0.0,0.0,0.0,4,3,36,37,7,7,6,7,2,2,0.0,4,40,40,40,4,0,1,2,0.0,0,0
0.5667,3,0,0,12,0.0,2,0,14,6,2,0,0,1,3,0,0.0,0.0,0.0,2,3,36,37,7,7,6,7,2,2,0.0,4,40,40,40,4,0,1,2,0.0,0,0
0.0444,3,0,0,10,0.0,2,1,14,6,4,0,1,1,3,0,0.0,0.0,0.0,4,3,36,8,2,0,0,0,1,0,0.0,1,40,40,40,4,0,1,0,0.0,1,0
0.4444,3,0,0,16,0.0,2,0,14,6,4,0,0,1,3,0,0.0,0.0,0.0088,2,3,36,37,7,7,6,7,2,2,0.0,4,40,40,40,4,0,1,2,0.0,0,0
0.4889,4,33,19,7,0.0,2,0,19,12,4,0,1,1,3,0,0.0439,0.0,0.0,2,3,36,20,4,7,6,7,2,2,1.0,4,40,40,40,4,0,1,2,1.0,0,0
0.0556,3,0,0,10,0.0,2,1,14,6,4,0,1,1,3,0,0.0,0.0,0.0,4,3,36,8,2,0,0,0,1,0,0.0,0,40,40,40,4,0,1,0,0.0,1,0
0.1667,3,0,0,6,0.0,2,1,14,6,4,6,0,1,3,2,0.0,0.0,0.0,4,3,36,8,2,0,0,0,1,0,0.0,0,26,26,40,4,0,1,2,0.0,1,0
0.5111,7,43,9,14,0.0,2,0,5,10,4,0,0,1,5,0,0.0,0.0,0.0,2,3,36,37,7,7,6,7,2,2,1.0,4,40,40,40,4,0,1,2,0.4808,0,0
0.4889,3,0,0,6,0.0,2,1,14,6,4,0,1,1,3,2,0.0,0.0,0.0,4,3,36,20,4,0,0,0,1,0,0.0,4,42,42,40,4,0,1,2,0.0,1,0
0.3,3,0,0,12,0.0,2,0,14,6,4,0,0,1,3,2,0.0,0.0,0.0,2,3,36,37,7,0,0,0,1,0,0.0,4,40,40,40,4,0,1,2,0.0,1,0
0.7778,3,0,0,12,0.0,2,0,14,6,4,0,1,1,3,0,0.0,0.0,0.0,1,3,36,20,4,7,6,7,2,2,0.0,4,40,40,40,4,0,1,2,0.0,0,0
0.5333,6,35,2,9,0.0,2,0,7,2,2,0,1,1,3,0,0.0,0.0,0.0,5,3,36,22,4,7,6,7,2,2,0.1667,4,23,5,23,1,0,1,2,0.9615,0,1
0.8556,3,0,0,12,0.0,2,0,14,6,4,0,1,1,3,0,0.0,0.0,0.0,1,3,36,20,4,7,6,7,2,2,0.0,4,40,40,40,4,0,1,2,0.0,0,0
0.4444,7,43,12,14,0.0,2,0,5,10,4,5,1,1,3,1,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,1.0,4,0,26,26,0,0,1,2,1.0,1,0
0.5556,3,0,0,12,0.0,2,0,14,6,4,0,0,1,3,0,0.0,0.0,0.0,2,3,36,37,7,7,6,7,2,2,0.0,4,40,40,40,4,0,1,2,0.0,0,0
0.1556,3,0,0,10,0.0,2,1,14,6,4,0,1,1,3,0,0.0,0.0,0.0,4,3,36,8,2,7,6,7,2,2,0.0,1,32,32,32,0,0,1,0,0.0,0,0
0.8333,3,0,0,5,0.0,2,0,14,6,4,0,1,1,3,2,0.0,0.0909,0.0,1,3,36,20,4,0,0,0,1,0,0.0,4,40,40,40,4,0,1,2,0.0,1,0
0.1,3,0,0,10,0.0,2,1,14,6,2,0,0,1,3,0,0.0,0.0,0.0,4,3,36,8,2,7,6,7,2,2,0.0,0,40,40,40,4,0,1,0,0.0,0,0
0.6778,3,0,0,16,0.0,2,0,14,6,4,0,0,1,3,0,0.0,0.0,0.0,4,3,36,37,7,7,6,7,2,2,0.0,4,40,40,40,4,0,1,2,0.0,0,0
0.4556,3,0,0,16,0.0,2,0,14,6,4,0,1,1,3,0,0.0,0.0,0.0,2,4,19,20,4,6,8,9,0,1,1.0,4,40,40,40,4,2,1,2,1.0,0,0
0.3556,4,23,39,12,0.0,2,0,11,14,4,0,1,1,3,1,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,1.0,4,40,40,40,4,0,1,2,1.0,1,0
0.2333,3,0,0,13,0.0,2,1,14,6,4,0,0,1,3,0,0.0,0.0,0.0,4,3,36,2,0,7,6,7,2,2,0.0,4,40,40,40,4,0,1,2,0.0,0,0
1.0,3,0,0,14,0.0,2,0,14,6,4,0,0,1,3,2,0.0233,0.0,0.0,5,3,36,22,4,0,0,0,1,0,0.0,4,11,35,40,4,0,1,2,0.0,1,0
0.1222,3,0,0,10,0.0,2,1,14,6,4,0,0,1,3,0,0.0,0.0,0.0,4,3,36,8,2,0,0,0,1,0,0.0,0,40,11,40,4,0,1,0,0.0,1,0
0.6222,4,31,2,9,0.0,2,0,22,2,4,0,1,0,3,1,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,1.0,4,0,0,40,4,0,1,2,1.0,1,1
0.4333,4,33,12,12,0.0615,2,0,19,10,4,0,0,2,3,1,0.0,0.0,0.0,2,3,36,37,7,0,0,0,1,0,1.0,4,40,40,40,4,0,1,2,0.7692,1,0
0.2778,5,37,17,7,0.0,2,1,2,12,4,0,1,1,3,0,0.0,0.0,0.002,5,3,36,22,4,7,6,7,2,2,0.3333,4,40,40,40,4,2,1,2,1.0,0,0
0.8111,4,35,32,12,0.0,2,0,7,7,4,3,1,1,3,1,0.0,0.0,0.0,3,3,36,20,4,0,0,0,1,0,0.1667,4,5,5,5,0,0,1,2,0.7692,1,0
0.4222,1,31,33,9,0.0,2,0,22,8,4,0,1,1,3,0,0.0,0.3776,0.0,2,3,36,20,4,7,6,7,2,2,0.6667,4,40,40,40,4,0,1,2,1.0,0,0
0.2333,4,1,41,12,0.0,2,0,0,4,4,5,1,1,3,0,0.0,0.0,0.0,4,3,36,20,4,7,6,7,2,2,0.3333,4,26,26,26,0,0,1,2,0.8846,0,0
0.1444,3,0,0,10,0.0,2,1,14,6,4,0,0,1,3,0,0.0,0.0,0.0,4,3,36,8,2,7,6,7,2,2,0.0,0,40,40,40,4,0,1,0,0.0,0,0
0.0556,3,0,0,10,0.0,2,1,14,6,4,0,1,1,3,0,0.0,0.0,0.0,4,3,36,8,2,7,6,7,2,2,0.0,0,40,40,40,4,0,1,0,0.0,0,0
0.4889,6,38,2,16,0.0,2,0,2,2,4,0,1,1,3,0,0.0,0.0,0.0,2,3,36,20,4,7,6,7,2,2,0.1667,4,40,40,40,4,0,1,2,0.9615,0,0
0.0111,3,0,0,10,0.0,2,1,14,6,4,0,1,1,3,0,0.0,0.0,0.0,4,3,36,8,2,7,6,7,2,2,0.0,0,40,40,40,4,0,1,0,0.0,0,0
0.4444,6,35,17,9,0.0,2,0,7,12,4,0,0,1,3,1,0.0,0.0,0.0,2,3,36,37,7,0,0,0,1,0,0.1667,4,40,40,40,4,0,1,2,0.9615,1,0
0.5556,4,42,26,12,0.0,2,0,12,0,4,0,0,1,3,0,0.0,0.0,0.0,2,3,36,37,7,7,6,7,2,2,0.5,4,40,40,40,4,0,1,2,1.0,0,0
0.6556,4,24,2,9,0.0,2,0,11,2,4,0,0,1,3,1,0.0,0.0,0.0,3,3,36,37,7,0,0,0,1,0,0.3333,4,40,40,40,4,0,1,2,1.0,1,1
0.8222,7,44,42,5,0.0,2,0,20,4,4,0,0,1,3,0,0.0,0.0,0.0,5,3,36,22,4,7,6,7,2,2,0.8333,4,0,40,40,4,0,1,2,1.0,0,0
0.1444,3,0,0,10,0.0,2,1,14,6,4,0,0,1,3,0,0.0,0.0,0.0,4,3,36,10,5,7,6,7,2,2,0.0,2,40,40,40,4,0,1,0,0.0,0,0
0.5556,0,29,2,16,0.0,2,0,21,2,4,8,1,1,3,5,0.0,0.0,0.0,2,3,36,20,4,0,0,0,1,0,0.6667,4,40,40,40,4,2,1,2,0.9231,1,0
0.2667,4,33,29,1,0.0,2,1,19,7,4,0,0,1,3,1,0.0,0.0,0.0,0,3,36,20,4,0,0,0,1,0,1.0,4,40,40,40,4,2,1,2,1.0,1,0
0.4778,4,22,36,12,0.0,2,0,11,5,4,5,0,1,3,1,0.0,0.0,0.0,2,3,36,37,7,0,0,0,1,0,0.6667,4,26,26,26,0,0,1,2,1.0,1,0
0.3667,4,34,3,12,0.0,2,0,7,2,4,8,0,1,3,5,0.0,0.0,0.0,2,3,36,37,7,0,0,0,1,0,1.0,4,40,40,40,4,0,1,2,1.0,1,0
0.1556,3,0,0,10,0.0,2,1,14,6,4,0,0,1,3,0,0.0,0.0,0.0,4,3,36,8,2,7,6,7,2,2,0.0,0,40,40,40,4,0,1,0,0.0,0,0
0.2778,5,33,16,16,0.0,2,1,19,12,3,1,0,1,3,0,0.0,0.0,0.0,5,3,36,2,0,7,6,7,2,2,0.1667,4,0,0,0,1,0,1,2,1.0,0,0
0.6889,4,4,2,16,0.0,2,0,4,2,4,0,1,1,3,1,0.0,0.0,0.0,5,3,36,22,4,0,0,0,1,0,1.0,4,12,40,40,4,2,2,1,1.0,1,1
0.5222,1,43,12,11,0.0,2,0,5,10,4,0,0,0,3,0,0.0,0.0,0.0,2,3,36,37,7,7,6,7,2,2,1.0,4,40,40,40,4,2,1,2,1.0,0,1
0.2778,4,33,41,16,0.0,2,1,19,4,0,0,1,1,0,0,0.0,0.0,0.0,5,1,50,22,4,3,3,3,0,1,0.6667,4,40,11,40,4,0,1,2,1.0,0,0
0.5222,4,23,37,16,0.0,2,0,11,5,4,0,0,1,3,5,0.0,0.0,0.0,2,3,36,37,7,0,0,0,1,0,0.8333,4,40,40,40,4,0,1,2,1.0,1,0
0.7889,3,0,0,12,0.0,2,0,14,6,4,0,0,1,3,2,0.0,0.0,0.0,1,3,36,37,7,0,0,0,1,0,0.0,4,40,40,40,4,0,1,2,0.0,1,0
0.6333,4,9,37,6,0.0,2,0,10,5,4,1,0,1,3,1,0.0,0.0,0.0,5,3,36,20,4,0,0,0,1,0,0.6667,4,6,6,6,0,0,1,2,1.0,1,0
0.5667,4,33,19,0,0.0,2,0,19,12,4,0,0,1,3,0,0.0,0.0,0.0,5,4,35,20,4,6,8,9,0,3,1.0,4,40,40,40,4,0,1,2,1.0,0,0
0.9667,3,0,0,12,0.0,2,0,14,6,4,0,0,1,3,2,0.0,0.0,0.0,5,3,36,22,4,0,0,0,1,0,0.0,4,0,40,40,4,0,1,2,0.0,1,0
0.0333,3,0,0,10,0.0,2,1,14,6,2,0,1,1,3,0,0.0,0.0,0.0,4,4,45,10,5,3,8,9,0,3,0.0,2,40,40,40,4,0,1,0,0.0,0,0
0.4333,4,43,26,9,0.0,2,1,5,0,3,6,1,0,3,1,0.0685,0.0,0.0,5,3,36,22,4,0,0,0,1,0,1.0,4,26,26,26,0,2,1,2,1.0,1,0
0.9667,3,0,0,5,0.0,2,0,14,6,4,0,1,1,3,2,0.0,0.0,0.0,1,3,36,20,4,0,0,0,1,0,0.0,4,2,40,40,4,0,1,2,0.0,1,0
0.7222,5,37,2,1,0.0,2,0,2,2,4,0,1,1,3,0,0.0642,0.0,0.0001,3,3,36,20,4,7,6,7,2,2,0.1667,4,40,40,40,4,0,1,2,1.0,0,0
0.5222,3,0,0,16,0.0,2,0,14,6,4,0,1,1,3,0,0.0,0.0,0.0016,2,3,36,20,4,0,0,0,1,0,1.0,4,32,32,11,1,0,1,2,1.0,1,0
0.1778,3,0,0,0,0.0,1,1,14,6,4,0,0,1,3,2,0.0,0.0,0.0,4,3,36,8,2,0,0,0,1,0,0.0,0,40,40,40,4,0,1,2,0.0,1,0
0.3556,4,42,30,12,0.0,2,1,12,7,2,0,0,0,3,0,0.0,0.0,0.0,5,3,36,22,4,7,6,7,2,2,1.0,4,0,0,0,0,0,1,2,1.0,0,0
